state,rainfall_mm,humidity,soil_type,input_cost,market_price,Nitrogen,Phosphorus,Potassium,Temperature,pH_Value,Crop,crop_norm,state_norm,real_yield_ton_per_ha,yield_kg_per_ha,crop_mapped,state_crop_avg_tph,crop_simple,crop_level_avg_tph,yield_kg_per_ha_final,revenue_INR_per_ha_final,profit_INR_per_ha_final
Maharashtra,1289.49,79.08,Loam,31642.95,18000,90,42,43,20.87974371,6.502985292,Rice,rice,maharashtra,1.9690026450869564,1969.0026450869564,rice,1.9690026450869564,rice,2.218494541018379,1969.0026450869564,35442.04761156521,3799.097611565212
Maharashtra,367.2,61.16,Sandy Loam,30414.35,22000,85,58,41,21.77046169,7.038096361,Rice,rice,maharashtra,1.9690026450869564,1969.0026450869564,rice,1.9690026450869564,rice,2.218494541018379,1969.0026450869564,43318.05819191304,12903.708191913043
Maharashtra,590.85,51.83,Clay,4078.79,16000,60,55,44,23.00445915,7.840207144,Rice,rice,maharashtra,1.9690026450869564,1969.0026450869564,rice,1.9690026450869564,rice,2.218494541018379,1969.0026450869564,31504.0423213913,27425.2523213913
Maharashtra,344.22,77.64,Loam,4442.64,14000,74,35,40,26.49109635,6.980400905,Rice,rice,maharashtra,1.9690026450869564,1969.0026450869564,rice,1.9690026450869564,rice,2.218494541018379,1969.0026450869564,27566.03703121739,23123.39703121739
Maharashtra,491.0,54.48,Loam,32812.25,15000,78,42,42,20.13017482,7.628472891,Rice,rice,maharashtra,1.9690026450869564,1969.0026450869564,rice,1.9690026450869564,rice,2.218494541018379,1969.0026450869564,29535.039676304346,-3277.2103236956536
Maharashtra,536.98,73.31,Black Soil,14443.59,45000,69,37,42,23.05804872,7.073453503,Rice,rice,maharashtra,1.9690026450869564,1969.0026450869564,rice,1.9690026450869564,rice,2.218494541018379,1969.0026450869564,88605.11902891305,74161.52902891305
Maharashtra,641.55,62.1,Loam,25112.83,38000,69,55,38,22.70883798,5.70080568,Rice,rice,maharashtra,1.9690026450869564,1969.0026450869564,rice,1.9690026450869564,rice,2.218494541018379,1969.0026450869564,74822.10051330435,49709.27051330435
Maharashtra,592.34,57.2,Clay,11086.99,65000,94,53,40,20.27774362,5.718627178,Rice,rice,maharashtra,1.9690026450869564,1969.0026450869564,rice,1.9690026450869564,rice,2.218494541018379,1969.0026450869564,127985.17193065217,116898.18193065216
Maharashtra,432.07,70.91,Loam,67483.44,55000,89,54,38,24.51588066,6.685346424,Rice,rice,maharashtra,1.9690026450869564,1969.0026450869564,rice,1.9690026450869564,rice,2.218494541018379,1969.0026450869564,108295.1454797826,40811.7054797826
Maharashtra,657.63,62.84,Clay,9502.07,60000,68,58,38,23.22397386,6.336253525,Rice,rice,maharashtra,1.9690026450869564,1969.0026450869564,rice,1.9690026450869564,rice,2.218494541018379,1969.0026450869564,118140.15870521739,108638.08870521738
Maharashtra,1380.78,64.34,Black Soil,6939.0,3200,91,53,40,26.52723513,5.386167788,Rice,rice,maharashtra,1.9690026450869564,1969.0026450869564,rice,1.9690026450869564,rice,2.218494541018379,1969.0026450869564,6300.8084642782605,-638.1915357217395
Maharashtra,389.42,57.72,Black Soil,44436.57,15000,90,46,42,23.97898217,7.50283396,Rice,rice,maharashtra,1.9690026450869564,1969.0026450869564,rice,1.9690026450869564,rice,2.218494541018379,1969.0026450869564,29535.039676304346,-14901.530323695653
Maharashtra,1334.79,95.0,Sandy Loam,10421.07,18000,78,58,44,26.80079604,5.108681786,Rice,rice,maharashtra,1.9690026450869564,1969.0026450869564,rice,1.9690026450869564,rice,2.218494541018379,1969.0026450869564,35442.04761156521,25020.977611565213
Maharashtra,408.38,68.22,Clay,28995.35,22000,93,56,36,24.01497622,6.98435366,Rice,rice,maharashtra,1.9690026450869564,1969.0026450869564,rice,1.9690026450869564,rice,2.218494541018379,1969.0026450869564,43318.05819191304,14322.708191913043
